asset,name,amount_trn_krw,weight_pct_2026h1,target_pct_2027,mod_duration_y,krw_rate_exposure,mu_pct,gov_bond_trn_krw,asof,source,is_assumed_duration_mu
eq_dom,국내주식,543.2,29.1,20.8,0.0,0.0,8.0,0.0,2026-06-30,"기금운용본부 포트폴리오 현황(금액·비중, 공시) · 듀레이션·μ 는 교육용 가정",1
eq_for,해외주식,661.1,35.4,35.6,0.0,0.0,8.0,0.0,2026-06-30,"기금운용본부 포트폴리오 현황(금액·비중, 공시) · 듀레이션·μ 는 교육용 가정",1
bond_dom,국내채권,287.8,15.4,21.8,5.5,1.0,4.2,118.6,2026-06-30,"기금운용본부 포트폴리오 현황(금액·비중, 공시) · 듀레이션·μ 는 교육용 가정",1
bond_for,해외채권,110.2,5.9,7.4,6.5,0.0,4.5,0.0,2026-06-30,"기금운용본부 포트폴리오 현황(금액·비중, 공시) · 듀레이션·μ 는 교육용 가정",1
alt,대체투자,260.9,14.0,14.3,0.0,0.0,8.0,0.0,2026-06-30,"기금운용본부 포트폴리오 현황(금액·비중, 공시) · 듀레이션·μ 는 교육용 가정",1
cash,단기자금,4.6,0.2,,0.2,1.0,3.75,0.0,2026-06-30,"기금운용본부 포트폴리오 현황(금액·비중, 공시) · 듀레이션·μ 는 교육용 가정",1
