nps_class,name,target_2026_jan_pct,target_2026_pct,actual_2025_12_pct,actual_2026_03_pct,actual_2026_05_pct,actual_2026_06_pct,actual_2026_06_trn,saa_band_pp,saa_band_temp_pp,taa_band_pp,target_2027_pct,is_assumed,asof,source
eq_kr,국내주식,14.9,20.8,18.1,21.0,29.4,29.1,543.2,3.0,6.0,2.0,20.8,0,2026-09-21,기금운용위 2026.1.26 · 5.28 의결 · 기금운용본부 월별 포트폴리오 · 기금운용지침 별표 1(2024.5.31)
eq_fx,해외주식,,34.7,,,,35.4,661.1,4.0,,3.0,35.6,0,2026-09-21,기금운용위 2026.1.26 · 5.28 의결 · 기금운용본부 월별 포트폴리오 · 기금운용지침 별표 1(2024.5.31)
bond_kr,국내채권,,23.1,,,,,,7.0,,5.0,21.8,0,2026-09-21,기금운용위 2026.1.26 · 5.28 의결 · 기금운용본부 월별 포트폴리오 · 기금운용지침 별표 1(2024.5.31)
bond_fx,해외채권,,7.4,,,,,,0.5,,+2.0/-4.0,7.4,0,2026-09-21,기금운용위 2026.1.26 · 5.28 의결 · 기금운용본부 월별 포트폴리오 · 기금운용지침 별표 1(2024.5.31)
alt,대체투자,,14.0,,,,14.0,260.9,,,,14.3,0,2026-09-21,기금운용위 2026.1.26 · 5.28 의결 · 기금운용본부 월별 포트폴리오 · 기금운용지침 별표 1(2024.5.31)
