date,kospi_close,note,nps_kr_eq_pct,is_assumed,asof,source
2024-12-30,2399.49,2024 말,,0,2026-09-21,KRX · 기금운용본부 · 언론(2026.6~8)
2025-12-30,4214.17,2025 말(+75.6%),18.1,0,2026-09-21,KRX · 기금운용본부 · 언론(2026.6~8)
2026-03-31,5052.46,2026.3 말 · NPS 국내주식 21.0%,21.0,0,2026-09-21,KRX · 기금운용본부 · 언론(2026.6~8)
2026-05-22,7847.71,거래대금 48조 기록,,0,2026-09-21,KRX · 기금운용본부 · 언론(2026.6~8)
2026-05-29,8476.15,5월 말 종가 · NPS 29.4%,29.4,0,2026-09-21,KRX · 기금운용본부 · 언론(2026.6~8)
2026-06-19,9385.59,장중 고점 · 유예 종료 직전,,0,2026-09-21,KRX · 기금운용본부 · 언론(2026.6~8)
2026-07-07,6258.77,고점 대비 −33% · NPS 약 23.5%(추정),23.5,1,2026-09-21,KRX · 기금운용본부 · 언론(2026.6~8)
2026-09-18,6894.23,기준일 직전 종가,,0,2026-09-21,KRX · 기금운용본부 · 언론(2026.6~8)
