date,ret_SPY,ret_EFA,ret_EEM,ret_IEF,ret_TLT,ret_LQD,ret_HYG,ret_TIP,ret_VNQ,ret_GLD,ret_DBC
2019-07-01,1.5119,-1.9474,-2.6567,0.0382,0.2565,0.254,0.1567,0.3151,1.7048,0.0075,-1.1443
2019-08-01,-1.6743,-1.924,-3.7826,3.9517,11.0491,3.886,0.6896,2.331,3.7462,7.9123,-4.6302
2019-09-01,1.9457,3.164,1.6919,-1.186,-2.6799,-0.7559,0.439,-1.1064,1.9271,-3.3948,1.416
2019-10-01,2.2105,3.3891,4.184,0.1879,-1.1132,0.4452,-0.0115,-0.0293,1.126,2.5635,1.9282
2019-11-01,3.6198,1.1273,-0.0939,-0.6872,-0.4071,0.475,0.568,0.293,-1.3043,-3.2086,-0.1305
2019-12-01,2.9055,2.9954,7.7303,-0.9281,-3.1975,0.5274,1.9112,0.3467,0.769,3.6559,5.8491
2020-01-01,-0.0403,-2.8226,-6.1511,3.4658,7.6912,2.4461,-0.4662,2.1361,1.2286,4.4997,-8.5893
2020-02-01,-7.9166,-7.7653,-3.7758,2.9617,6.6265,1.0914,-1.2895,0.9223,-7.0265,-0.6362,-6.6529
2020-03-01,-12.4871,-14.1067,-15.77,3.7227,6.3767,-6.3119,-10.028,-1.7579,-19.3918,-0.2224,-17.3402
2020-04-01,12.6984,5.8175,7.3542,0.2753,1.2189,4.8458,4.8835,3.0286,8.962,7.2611,-3.1111
2020-05-01,4.7645,5.4269,2.9749,0.3275,-1.7619,2.4602,2.9465,0.6512,1.7343,2.5882,8.0734
2020-06-01,1.7734,3.5112,6.6049,0.0427,0.3366,2.1276,-0.5834,0.9852,2.4249,2.7377,4.4992
2020-07-01,5.8892,1.9385,8.2521,0.8541,4.4352,3.1001,5.0605,2.3252,3.6419,10.7905,5.1178
2020-08-01,6.9797,4.722,2.8875,-0.9698,-5.0466,-1.7783,-0.0223,0.8899,0.4423,-0.3236,4.6368
2020-09-01,-3.7444,-2.0468,-1.0103,0.3278,0.7734,-0.4398,-0.9317,-0.378,-2.6643,-4.1714,-3.545
2020-10-01,-2.4934,-3.5507,1.4062,-1.3808,-3.3852,-0.5103,0.4034,-0.6765,-3.0016,-0.5194,-3.1394
